guid,text_a,label
0,What’s the current value of my savings account?,balances_
1,How much money do I have in all of my accounts?,balances_
2,What’s my available credit on my Visa?,balances_
3,What’s the value of my savings account?,balances_
4,What do I owe?,balances_
5,How much do I have available?,balances_
6,How much money do I have in checking?,balances_
7,What’s my balance?,balances_
8,How much money did I save last month?,balances_
9,How much do I owe on all my credit cards?,balances_
10,Show my most expensive transaction in July,transactions_
11,How much did I pay Andy last week?,transactions_
12,Show me all the checks I sent out last month,transactions_
13,How much did I pay Sasha in July?,transactions_
14,When did I last get paid?,transactions_
15,Show me my Checking account transactions from January to May,transactions_
16,What did I deposit last weekend?,transactions_
17,How much did I transfer from checking to savings last year?,transactions_
18,Show my last 5 checks,transactions_
19,How much did I deposit in April?,transactions_
20,Show my largest transaction in May,transactions_
21,How much did I spend at Apple last year?,track_spending_
22,What was my most expensive restaurant expense?,track_spending_
23,How much did I spend on gas last month?,track_spending_
24,How much have I spent in 2016?,track_spending_
25,How much did I spend on gas in October?,track_spending_
26,How much did I spend on Uber? Last month?,track_spending_
27,How much did I spend last weekend?,track_spending_
28,What was my most expensive gas bill last weekend?,track_spending_
29,What was my largest Best Buy transaction?,track_spending_
30,How much did I spend on clothes in June?,track_spending_
31,How much did I spend on groceries last week?,track_spending_
32,How much did I spend eating out last week?,track_spending_
33,How much did I spend on gas using my Visa cc last week?,track_spending_
34,How much have I spent at Philz Coffee?,track_spending_
35,What did I spend on food in London last month?,track_spending_
36,What was my largest concert ticket?,track_spending_
13,What is a designated beneficiary?,faq_
13,How do I name a beneficiary?,faq_
13,Can I add or update beneficiaries for my accounts online?,faq_
13,I noticed an unauthorized card transaction,faq_
14,Pay Chase the minimum balance on the 15th of the month,send_money_
14,Send $500 to Mom from Savings every month,send_money_
14,Pay Lauren $15 for photos,send_money_
14,Pay the minimum balance on my credit card on the 15th of the month,send_money_
14,Pay Cleo for rent on the 1st of every month using Paypal,send_money_
14,Pay my credit card,send_money_
14,Pay Lauren $200,send_money_
