guid,text_a,label
0,How much money did I save last year?,balances_
1,What’s the value of my savings account?,balances_
2,How much money do I have in all of my accounts?,balances_
3,How much money did I save last month?,balances_
4,What’s the current value of my savings account?,balances_
5,How much do I owe on all my credit cards?,balances_
6,What’s the value of my e-trade account?,balances_
7,How much do I have available?,balances_
8,Show me all the checks I sent out last month,transactions_
9,How much did I deposit in April?,transactions_
10,Show my largest transaction in May,transactions_
11,Show my most expensive transaction in July,transactions_
12,How much did I deposit last week?,transactions_
13,How much did I transfer from checking to savings last year?,transactions_
14,How many days until I get paid?,transactions_
15,What did I deposit last weekend?,transactions_
16,How much have I spent at Philz Coffee?,track_spending_
17,How much did I spend on gas last month?,track_spending_
18,How much did I spend on Uber? Last month?,track_spending_
19,How much have I spent on restaurants in 2016?,track_spending_
20,What was my most expensive gas bill last weekend?,track_spending_
21,How much did I spend at Apple last year?,track_spending_
22,What was my largest concert ticket?,track_spending_
23,How much did I spend on clothes in June?,track_spending_
24,I noticed an unauthorized card transaction,faq_
25,How do I name a beneficiary?,faq_
26,Send $500 to Mom from Savings every month,send_money_
27,I’d like to send Sasha $20 for lunch,send_money_
28,Pay Cleo for rent on the 1st of every month using Paypal,send_money_
