guid,text_a,label
0,dim kitchen lights,lightsettings_
1,please dim all lights,lightsettings_
2,turn off all the lights,lightsettings_
3,dim all the lights to 39 percent,lightsettings_
4,please dim the lights,lightsettings_
5,dim the bedroom,lightsettings_
6,living room light on,lightsettings_
7,all lights off,lightsettings_
8,bedroom lights 50 percent,lightsettings_
9,turn on the lights,lightsettings_
10,please dim the kitchen,lightsettings_
11,turn off the bathroom lights,lightsettings_
12,dim lights please,lightsettings_
13,bedroom light on,lightsettings_
14,dim the lights,lightsettings_
15,kitchen lights off,lightsettings_
16,turn off the lights,lightsettings_
17,please dim lights,lightsettings_
18,please turn off lights,lightsettings_
19,please turn on the lights,lightsettings_
20,set temperature to 80 degrees,temperaturesettings_
21,it is too hot,temperaturesettings_
22,lower the temperature,temperaturesettings_
23,turn off the heater,temperaturesettings_
24,set temperature to 70 degrees,temperaturesettings_
25,raise the temperature,temperaturesettings_
26,turn on air conditioner,temperaturesettings_
27,crank up the ac please,temperaturesettings_
28,it is a little too hot,temperaturesettings_
29,turn off heater,temperaturesettings_
30,please lower temperature,temperaturesettings_
31,raise the temperature,temperaturesettings_
32,"too hot, colder please",temperaturesettings_
33,lower temperature to 60 degrees,temperaturesettings_
34,turn on the heater,temperaturesettings_
35,please turn off the heat,temperaturesettings_
36,please turn on the heat,temperaturesettings_
37,"too cold, warmer please",temperaturesettings_
38,it is too cold,temperaturesettings_
39,turn off the ac please,temperaturesettings_
40,turn off the heat,temperaturesettings_
41,it is a little too cold,temperaturesettings_
42,start the ac please,temperaturesettings_
43,turn on the heat,temperaturesettings_
44,crank up the air conditioning,temperaturesettings_
45,raise the temperature in the bedroom,temperaturesettings_
46,please raise the temperature,temperaturesettings_
47,open the garage door,securitysettings_
48,unlock my door,securitysettings_
49,close the garage,securitysettings_
50,lock my front door please,securitysettings_
51,set the security system to off,securitysettings_
52,set the security system to on,securitysettings_
53,lock the back door,securitysettings_
54,set the security system,securitysettings_
55,lock my door,securitysettings_
56,please lock my door,securitysettings_
57,connect to iphone,deviceconnection_
