guid,text_a,label
0,What can I do with my account?,intent1
1,What is My Account? What can I do with it?,intent1
2,I need to sign in,intent2
3,How do I sign in to My Account?,intent2
4,I am supposed to verify my account but can't see it,intent3
5,It is asking me to verify my account?,intent3
6,What is my security code?,intent4
7,I don't have the bill which has my customer code,intent4
8,Can I set my 4-digit customer code later?,intent5
9,what features won't I be able to see with limited access?,intent6
10,I have Limited access to My Account. What features will I be able to see?,intent6
11,what features are available once I enter my 4-digit code?,intent7
12,what features do I see once I enter my security code?,intent7
13,Can I sign in from anywhere?,intent8
14,can I access my account from any computer?,intent8
15,what can I do on the overview tab?,intent9
16,What can I do on the Overview tab in My Account?,intent9
17,where can I find my account number?,intent10
18,what's my account number?,intent10
19,how come I am being told my debit card is no longer active?,intent11
20,Why is my credit card no longer active?,intent11
21,when do I get my statement?,intent12
22,when do you send my first bill?,intent12
23,can i review the equipment associated with my account?,intent13
24,what equipment and services are associated with my account?,intent13
25,how to tell if I am part of an outage?,intent14
26,Does the Activate and Troubleshoot Services module inform me if I am part of an outage?,intent14
27,"what does ""critical status"" mean?",intent15
28,What does “Critical status” mean and why am I receiving this message?,intent15
29,I am looking for past statement.,intent16
30,where can I find my statements online?,intent16
31,why should I setup auto-pay?,intent17
32,Why would I want to automatically pay my monthly bill statement?,intent17
33,what are one time payments?,intent18
34,What is a One-Time Payment?,intent18
35,what are these recurring payments?,intent19
36,What are Recurring Payments (also known as AutoPay)?,intent19
37,when can I cancel a recurring payment?,intent20
38,Can I cancel auto pay at any time?,intent20
39,Can I cancel my installation appointment online?,intent21
40,I need to cancel an installation,intent21
41,I need to make an appointment,intent22
42,How to make a new appointment?,intent22
43,can I go online to reschedule?,intent23
44,can I go online to reschedule an appointment?,intent23
45,online can I cancel service repair appointments?,intent24
46,Can I cancel my service repair appointment online?,intent24
47,please explain paperless billing,intent25
48,explain paperless billing,intent25
49,how do I stop receiving paper bills?,intent26
50,How do I stop receiving my paper bill statement each month?,intent26
51,what are the features of My Internet?,intent27
52,what is my internet?,intent27
53,how do i access my email?,intent28
54,explain my internet email,intent28
55,can i have multiple email addresses?,intent29
56,can I create a second email address?,intent29
57,where do I manage email accounts?,intent30
58,can I manage email accounts somewhere?,intent30
59,what is twc?,intent31
60,explain twc mail,intent31
61,can I set up twc id for others?,intent32
62,can I setup twc for my wife?,intent32
63,how do i create multiple twc ids?,intent33
64,how do I create a twc id?,intent33
65,how to manage users?,intent34
66,for users how do i manage them?,intent34
67,i need to disable a user's access,intent35
68,i need to disable a user,intent35
69,I need to delete a user,intent36
70,show me how to delete a user?,intent36
71,how to change my username?,intent37
72,it is possible to change my username?,intent37
73,how to change a twc id password?,intent38
74,i would like to change my password,intent38
75,where in my account can I change my account preferences?,intent39
76,Can I change my account preferences in My Account?,intent39
77,is it possible to my twc id's email?,intent40
78,i move and need to update my info,intent41
79,it is possible to change my billing address?,intent41
80,what can i do with My TV?,intent42
81,what is My TV for?,intent42
82,I want to know about twcondemand.com,intent43
83,What is TWCOnDemand.com?,intent43
84,can i record show by programming my dvr?,intent44
85,Can I program my DVR to record shows from within My Account?,intent44
86,where do i look for scheduling recordings,intent45
87,Can I see my scheduled recordings for my DVR?,intent45
88,can i call my friend using my phone?,intent46
89,what do i do with my phone?,intent46
90,where do i find my account's phone numbers?,intent47
91,Where do I find the phone numbers for my account?,intent47
92,What services can I access from the My Phone tab?,intent48
93,what services can i access from My Phone?,intent48
94,what computers can i access call history from?,intent49
95,can i access my call history from any computer?,intent49
96,which phones work with your service?,intent50
97,What type of phone do I have to use with your Phone service?,intent50
