guid,text_a,label
0,What can I do with an account?,intent1
1,what is my account?,intent1
2,What can I do with my account?,intent1
3,What is My Account? What can I do with it?,intent1
4,I need to sign in,intent2
5,I can't sign in.,intent2
6,How do I login?,intent2
7,How can I access my account?,intent2
8,It asked me to verify my account after I signed in?,intent3
9,I can't figure out how to verify my account,intent3
10,It is asking me to verify my account?,intent3
11,I am supposed to verify my account but can't see it,intent3
12,What is my security code?,intent4
13,How can I get my 4-digit Customer Code (4-digit Security Code) if I don’t have a paper or paperless bill handy?,intent4
14,I lost the paper which had my customer code,intent4
15,I don't have the bill which has my customer code,intent4
16,can I set my security code after registration?,intent5
17,Can I set my 5-digit customer code later?,intent5
18,I didn't enter my 4-digit Customer Code (4-digit Security Code) during registration. Will I be able to enter it later?,intent5
19,what features can I see with limited access?,intent6
20,what is the consequence for having limited access?,intent6
21,what features won't I be able to see with limited access?,intent6
22,What can I do with limited access?,intent6
23,what can I see after I enter my pin?,intent7
24,what features are available once I enter my 4-digit code?,intent7
25,what features are available once I enter my customer code?,intent7
26,what features do I see once I enter my security code?,intent7
27,Can I sign in to My Account from any computer?,intent8
28,how many computers can I access my account from?,intent8
29,can I access my account from any computer?,intent8
30,Can I log in to my account from anywhere?,intent8
31,what can I do from account overview?,intent9
32,what can i see on the account overview?,intent9
33,what can I do on the overview tab?,intent9
34,What can I do on the Overview tab in My Account?,intent9
35,I can't find my account number.,intent10
36,What is my account number?,intent10
37,how do you find out what is your account number?,intent10
38,where can I find my account number?,intent10
39,Why am I receiving notification that my debit/credit card is no longer active?,intent11
40,how come my debit card is no longer active?,intent11
41,Why is my credit card no longer active?,intent11
42,how come I am being told my debit card is no longer active?,intent11
43,when do you send my first bill?,intent12
44,when do i get my bill?,intent12
45,when do I get my statement?,intent12
46,When can I expect to receive my bill statement?,intent12
47,Can I review the services and equipment associated with my account?,intent13
48,what equipment and services are associated with my account?,intent13
49,can i review the equipment associated with my account?,intent13
50,what things are associated with my account?,intent13
51,Does the Activate and Troubleshoot Services module inform me if I am part of an outage?,intent14
