guid,text_a,label
1,what is my account?,intent1
1,What is My Account? What can I do with it?,intent1
1,What can I do with an account?,intent1
1,What can I do with my account?,intent1
2,How do I login?,intent2
2,I need to sign in,intent2
2,How can I access my account?,intent2
2,I can't sign in.,intent2
3,How do I verify my account after I sign in?,intent3
3,It asked me to verify my account after I signed in?,intent3
3,I can't figure out how to verify my account,intent3
3,It is asking me to verify my account?,intent3
4,What is my security code?,intent4
4,I lost the paper which had my customer code,intent4
4,I don't have the bill which has my customer code,intent4
4,How can I get my 4-digit Customer Code (4-digit Security Code) if I don’t have a paper or paperless bill handy?,intent4
5,Can I set my 5-digit customer code later?,intent5
5,Can I set my 4-digit customer code later?,intent5
5,I didn't enter my 4-digit Customer Code (4-digit Security Code) during registration. Will I be able to enter it later?,intent5
6,I have Limited access to My Account. What features will I be able to see?,intent6
6,what is the consequence for having limited access?,intent6
6,What can I do with limited access?,intent6
6,what features can I see with limited access?,intent6
7,what can I see after I enter my pin?,intent7
7,what features do I see once I enter my security code?,intent7
7,What features can I access after I enter my 4-digit Customer Code (4-digit Security Code)?,intent7
7,what features are available once I enter my 4-digit code?,intent7
8,Can I sign in to My Account from any computer?,intent8
8,how many computers can I access my account from?,intent8
8,can I access my account from any computer?,intent8
8,Can I log in to my account from anywhere?,intent8
9,what can I do from account overview?,intent9
9,what can i see on the account overview?,intent9
9,what is on the overview tab?,intent9
9,What can I do on the Overview tab in My Account?,intent9
10,I can't find my account number.,intent10
10,what's my account number?,intent10
10,What is my account number?,intent10
10,how do you find out what is your account number?,intent10
11,Why am I receiving notification that my debit/credit card is no longer active?,intent11
11,how come I am being told my debit card is no longer active?,intent11
11,I got a notification that my credit card was disabled?,intent11
11,how come my debit card is no longer active?,intent11
12,when do you send my first bill?,intent12
12,when do I get my statement?,intent12
12,when do i get a statement?,intent12
12,when do i get my bill?,intent12
13,Can I review the services and equipment associated with my account?,intent13
13,can i review the equipment associated with my account?,intent13
13,can I review the services associated with my account?,intent13
13,what equipment and services are associated with my account?,intent13
14,does my device tell me if I am part of an outage?,intent14
14,how to tell if I am part of an outage?,intent14
14,Does the Activate and Troubleshoot Services module inform me if I am part of an outage?,intent14
14,does the activate and troubleshoot services module tell me if there is an outage?,intent14
15,"what does ""critical status"" mean?",intent15
15,"what does ""Critical status"" mean?",intent15
15,What does “Critical status” mean and why am I receiving this message?,intent15
15,"why am i recieving the ""Critical status"" message?",intent15
16,where can I find my bill online for previous months?,intent16
16,where can I find my statements online?,intent16
16,I am looking for past statement.,intent16
16,Where can I find my current and previous bill statements online?,intent16
17,why setup auto-pay?,intent17
17,why should I setup auto-pay?,intent17
